stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,stop_street,stop_city,stop_region,stop_postcode,stop_country,location_type,parent_station,stop_timezone,wheelchair_boarding,direction,position,the_geom
51097,Alfriston Rd/Magic Way,,-37.01873,174.91221,,,51097,,,,,,1,,,,,,0101000020E6100000B1A206D330DD65401FBAA0BE658242C0
51098,Stratford Rd/Rathmar Dr,,-37.01397,174.91899,,,51098,,,,,,1,,,,,,0101000020E61000003C6BB75D68DD65400490DAC4C98142C0
51099,Hill Rd/Stratford Rd,,-37.01108,174.91596,,,51099,,,,,,1,,,,,,0101000020E6100000378E588B4FDD6540E1D1C6116B8142C0
3986,6 Pupuke Rd,,-36.80328,174.72649,,,3986,,,,,,0,41163,,,,,0101000020E6100000E0DBF4673FD76540F4C308E1D16642C0
3987,87 Porritt Ave,,-36.81612,174.7179,,,3987,,,,,,0,41216,,,,,0101000020E61000008CB96B09F9D6654046CEC29E766842C0
3980,10 Mountbatten Ave,,-36.79239,174.73383,,,3980,,,,,,0,41272,,,,,0101000020E61000005C5A0D897BD76540B6D617096D6542C0
3982,52 Lynden Ave,,-36.7913,174.73318,,,3982,,,,,,0,41273,,,,,0101000020E61000009A42E73576D7654093A98251496542C0
3983,87 Mokoia Rd,,-36.8118,174.72327,,,3983,,,,,,0,41192,,,,,0101000020E6100000B285200725D765404772F90FE96742C0
8156,170 Church St,,-36.92225,174.7929,,,8156,,,,,,0,11644,,,,,0101000020E6100000F31FD26F5FD96540355EBA490C7642C0
1111,191 Onetangi Rd,,-36.80149,175.06619,,,1111,,,,,,0,61038,,,,,0101000020E610000050AA7D3A1EE2654018096D39976642C0
1113,O'Brien Rd near Mcmillan Rd,,-36.81932,175.05815,,,1113,,,,,,0,10505,,,,,0101000020E61000006688635DDCE16540B77A4E7ADF6842C0
8157,Neilson St outside Waikaraka Park,,-36.9266,174.79649,,,8157,,,,,,0,11652,,,,,0101000020E6100000EAB298D87CD965409F3C2CD49A7642C0
51679,Settlement Rd/Albion Pl,,-37.066,174.9604,,,51679,,,,,,1,,,,,,0101000020E610000082E2C798BBDE65409CC420B0728842C0
51674,Opaheke Rd/Fairview Ave,,-37.07498,174.9486,,,51674,,,,,,1,,,,,,0101000020E61000008A1F63EE5ADE654052EDD3F1988942C0
1115,5 O'Brien Rd,,-36.81281,175.05698,,,1115,,,,,,0,61093,,,,,0101000020E6100000D690B8C7D2E165404EEE77280A6842C0
51676,Red Hill Rd/Redmount Pl,,-37.07209,174.97674,,,51676,,,,,,1,,,,,,0101000020E61000003E963E7441DF6540302FC03E3A8942C0
51677,Red Hill Rd/Gibbs Cr,,-37.07006,174.97939,,,51677,,,,,,1,,,,,,0101000020E6100000F180B22957DF6540FE60E0B9F78842C0
51670,Dominion Rd/Cargill St,,-37.0547,174.96674,,,51670,,,,,,1,,,,,,0101000020E61000008577B988EFDE6540AC8BDB68008742C0
51671,Old Wairoa Rd/Halberg St,,-37.05507,174.94806,,,51671,,,,,,1,,,,,,0101000020E6100000AAD4EC8156DE6540D07EA4880C8742C0
51672,Old Wairoa Rd/Porchester Rd,,-37.05657,174.9433,,,51672,,,,,,1,,,,,,0101000020E6100000234A7B832FDE6540A5F78DAF3D8742C0
51673,Opaheke Rd/Alexander St,,-37.07116,174.94675,,,51673,,,,,,1,,,,,,0101000020E61000009EEFA7C64BDE6540456458C51B8942C0
1117,O'Brien Rd opp Te Whau Dr,,-36.8104,175.05744,,,1117,,,,,,0,61094,,,,,0101000020E61000006F2F698CD6E16540D656EC2FBB6742C0
5794,48 View Rd,,-36.88824,174.63689,,,5794,,,,,,0,21265,,,,,0101000020E6100000C824236761D46540E17F2BD9B17142C0
5793,61 Larnoch Rd,,-36.86268,174.61968,,,5793,,,,,,0,21124,,,,,0101000020E610000087BF266BD4D36540E674594C6C6E42C0
2477,161 Tui Rd,,-36.97446,174.87737,,,2477,,,,,,0,61104,,,,,0101000020E6100000BB0F406A13DC65404DA1F31ABB7C42C0
2476,Opp 159 Tui Rd,,-36.97433,174.87717,,,2476,,,,,,0,61104,,,,,0101000020E610000009E1D1C611DC65407FC16ED8B67C42C0
2475,31 Pembroke St,,-36.97691,174.87669,,,2475,,,,,,0,61105,,,,,0101000020E61000005ED72FD80DDC654053910A630B7D42C0
2474,28 Pembroke St,,-36.97703,174.87647,,,2474,,,,,,0,61105,,,,,0101000020E61000009B3DD00A0CDC6540FE9AAC510F7D42C0
2473,Maich Rd near Station Rd,,-37.02169,174.89484,,,2473,,,,,,0,51725,,,,,0101000020E6100000E2E47E87A2DC65403B53E8BCC68242C0
2472,10 Pembroke St,,-36.97818,174.8755,,,2472,,,,,,0,61106,,,,,0101000020E6100000BC74931804DC6540F7CC9200357D42C0
2471,Northcrest Way near Maich Rd,,-37.02029,174.89383,,,2471,,,,,,0,51723,,,,,0101000020E6100000E1455F419ADC6540CA37DBDC988242C0
5792,36 Sel Peacock Dr,,-36.8758,174.63173,,,5792,,,,,,0,21120,,,,,0101000020E6100000DE3CD52137D465401CEBE2361A7042C0
2479,5 Alfriston Rd,,-37.02314,174.89998,,,2479,,,,,,0,51724,,,,,0101000020E6100000BB61DBA2CCDC65405E9D6340F68242C0
2478,192 Browns Rd,,-37.01716,174.86751,,,2478,,,,,,0,51769,,,,,0101000020E61000007FDE54A4C2DB65405166834C328242C0
7874,81 Kupe St,,-36.85725,174.82399,,,7874,,,,,,0,31030,,,,,0101000020E610000065C746205EDA65407D3F355EBA6D42C0
7875,12 Te Arawa St,,-36.85442,174.82496,,,7875,,,,,,0,31032,,,,,0101000020E61000004390831266DA65402F8672A25D6D42C0
7876,45 Kupe St,,-36.85934,174.82414,,,7876,,,,,,0,31029,,,,,0101000020E61000006A6AD95A5FDA6540841266DAFE6D42C0
7877,Opp 3 Te Arawa St,,-36.85518,174.82443,,,7877,,,,,,0,31031,,,,,0101000020E6100000ECFA05BB61DA6540BD18CA89766D42C0
7870,23 Te Arawa St,,-36.85447,174.82502,,,7870,,,,,,0,31032,,,,,0101000020E610000078D1579066DA6540E1B4E0455F6D42C0
7871,83 Rukutai St,,-36.85359,174.8265,,,7871,,,,,,0,31034,,,,,0101000020E61000009CC420B072DA6540A818E76F426D42C0
7872,111 Kupe St,,-36.85562,174.82388,,,7872,,,,,,0,31031,,,,,0101000020E610000083FA96395DDA6540DAE6C6F4846D42C0
7873,30 Te Arawa St,,-36.85294,174.82487,,,7873,,,,,,0,31033,,,,,0101000020E6100000732EC55565DA6540A1B94E232D6D42C0
7878,Kupe St near Kepa Rd,,-36.86128,174.82426,,,7878,,,,,,0,31028,,,,,0101000020E6100000D5EC815660DA654075594C6C3E6E42C0
7879,88 Kupe St,,-36.85732,174.82389,,,7879,,,,,,0,31030,,,,,0101000020E61000000CB08F4E5DDA6540761A69A9BC6D42C0
