route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,id
59501-20170724124507_v56.18,595,Glen Innes Centre To Britomart Via Panmure And Ellerslie,3,NZBML,,,,,189
05852-20170724124507_v56.18,058,Rosehill College To Homai,3,RTH,,,,,190
00178-20170807091914_v56.25,001,Greenmeadows Intermediate And Manurewa High To Everglade,3,RTH,,,,,191
71901-20170724124507_v56.18,719,Sylvia Park to Britomart,3,NZBML,,,,,192
55101-20170724124507_v56.18,551,North Park To Britomart Via Newmarket,3,HE,,,,,193
00501-20170724124507_v56.18,005,Pt Chevalier To Britomart Via Westmere,3,NZBML,,,,,194
25800-20170807091914_v56.25,258X,City Centre To Blockhouse Bay Via Dominion Rd Express,3,NZBML,,,,,195
08154-20170724124507_v56.18,081,Macleans College To Botany Downs,3,HE,,,,,196
02356-20170724124507_v56.18,023,Birkdale Intermediate To Beach Haven,3,BTL,,,,,197
75602-20170807091914_v56.25,756,Britomart To Panmure Via Mission Bay And Glen Innes,3,NZBML,,,,,198
89104-20170724124507_v56.18,891X,Newmarket To Albany Village,3,NZBNS,,,,,199
86605-20170807091914_v56.25,866X,Torbay To City Centre Express Via Crown Hill,3,NZBNS,,,,,200
97102-20170807091914_v56.25,971,Auckland University To Chatswood,3,BTL,,,,,201
00670-20170724124507_v56.18,006,Remuera Schools to Titirangi,3,RTH,,,,,202
55211-20170807091914_v56.25,552,Bucklands Beach To Panmure Via Eastern Beach,3,HE,,,,,203
97603-20170724124507_v56.18,976,Beach Haven To Takapuna Via Hospital,3,BTL,,,,,204
02958-20170724124507_v56.18,029,Northcross Intermediate To Silverdale,3,BAYES,,,,,205
04751-20170807091914_v56.25,047,Gulf Harbour To Westlake Girls And Carmel College,3,NZBNS,,,,,206
38012-20170807091914_v56.25,380,Onehunga To Manukau Via Airport,3,GBT,,,,,207
11018-20170807091914_v56.25,N11,City To Papakura Via Great South Rd (S),3,RTH,,,,,208
97307-20170724124507_v56.18,973,Highbury To Britomart,3,BTL,,,,,209
88602-20170724124507_v56.18,886,Constellation Station To Long Bay Via Browns Bay,3,RTH,,,,,210
86004-20170807091914_v56.25,86X,Mayoral Dr To Browns Bay Express,3,NZBNS,,,,,211
02158-20170724124507_v56.18,021,Sacred Heart College To Bucklands Beach,3,HE,,,,,212
74502-20170807091914_v56.25,745,Britomart To Glen Innes Centre Via Mission Bay,3,NZBML,,,,,213
36201-20170724124507_v56.18,362,Weymouth To Manukau Station Via Great South Rd,3,RTH,,,,,214
00356-20170807091914_v56.25,003,Royal Oak Intermediate To Mangere,3,GBT,,,,,215
08953-20170724124507_v56.18,089,Botany Downs To Sancta Maria College,3,HE,,,,,216
00670-20170807091914_v56.25,006,Remuera Schools to Titirangi,3,RTH,,,,,217
02062-20170724124507_v56.18,020,Rosmini To Beach Haven,3,BTL,,,,,218
92003-20170807091914_v56.25,920,Sylvan Ave To Mayoral Dr,3,RTH,,,,,219
00557-20170724124507_v56.18,005,Glen Eden to Green Bay High School,3,RTH,,,,,220
01457-20170724124507_v56.18,014,St Heliers To Epsom Schools,3,NZBML,,,,,221
90002-20170807091914_v56.25,900X,Mayoral Dr To Unsworth Heights Express,3,RTH,,,,,222
20326-20170724124507_v56.18,STH,Britomart Train Station to Papakura Train Station,2,AM,,,,,223
50005-20170807091914_v56.25,500,Botany Town Centre To Britomart Via Ti Rakau Dr,3,HE,,,,,224
00952-20170724124507_v56.18,009,Auckland Grammar To Remuera,3,NZBML,,,,,225
07956-20170807091914_v56.25,079,Birkenhead Schools To Chatswood,3,BTL,,,,,226
00360-20170724124507_v56.18,003,Carmel And Westlake Schools To Chatswood,3,BTL,,,,,227
03051-20170724124507_v56.18,030,Balmoral To Epsom Schools,3,NZBML,,,,,228
08051-20170807091914_v56.25,080,Chatswood To Northcote Schools,3,BTL,,,,,229
98019-20170807091914_v56.25,MTIA,Waiheke Island 2 To Auckland 2,4,FGL,,,,,230
02156-20170807091914_v56.25,021,Kelston Schools to Parrs Park,3,PC,,,,,231
00903-20170724124507_v56.18,009,Sylvia Park To New Lynn (No Stop On Donavon St By Countdown),3,PC,,,,,232
